Step,x-coordinate,y-coordinate,Event
1,0,4,visited
2,1,4,visited
3,2,4,visited
4,2,3,visited
5,2,2,visited
6,3,4,visited
7,1,2,visited
8,4,4,visited
9,0,2,visited
10,5,4,visited
11,0,1,visited
12,6,4,visited
13,0,0,visited
14,7,4,visited
15,1,0,visited
16,7,3,visited
17,2,0,visited
18,7,2,visited
19,3,0,visited
20,8,2,visited
21,4,0,visited
22,9,2,visited
23,4,1,visited
24,6,2,visited
25,9,3,visited
26,4,2,visited
27,5,2,visited
28,9,4,visited
29,10,4,visited
30,11,4,visited
31,11,3,visited
32,12,4,goal
